행정동,소계,year,소계_Lag1,소계_YoY_Change
석전동,18193.0,201501,,
석전동,18134.0,201502,18193.0,-59.0
석전동,18122.0,201503,18134.0,-12.0
석전동,18067.0,201504,18122.0,-55.0
석전동,17985.0,201505,18067.0,-82.0
석전동,17933.0,201506,17985.0,-52.0
석전동,17876.0,201507,17933.0,-57.0
석전동,17817.0,201508,17876.0,-59.0
석전동,17838.0,201509,17817.0,21.0
석전동,17810.0,201510,17838.0,-28.0
석전동,17730.0,201511,17810.0,-80.0
석전동,17532.0,201512,17730.0,-198.0
석전동,17257.0,201601,17532.0,-275.0
석전동,16994.0,201602,17257.0,-263.0
석전동,16643.0,201603,16994.0,-351.0
석전동,16294.0,201604,16643.0,-349.0
석전동,16142.0,201605,16294.0,-152.0
석전동,16043.0,201606,16142.0,-99.0
석전동,16003.0,201607,16043.0,-40.0
석전동,15958.0,201608,16003.0,-45.0
석전동,15910.0,201609,15958.0,-48.0
석전동,15883.0,201610,15910.0,-27.0
석전동,15847.0,201611,15883.0,-36.0
석전동,15793.0,201612,15847.0,-54.0
석전동,15742.0,201701,15793.0,-51.0
석전동,15660.0,201702,15742.0,-82.0
석전동,15553.0,201703,15660.0,-107.0
석전동,15473.0,201704,15553.0,-80.0
석전동,15385.0,201705,15473.0,-88.0
석전동,15328.0,201706,15385.0,-57.0
석전동,15312.0,201707,15328.0,-16.0
석전동,15257.0,201708,15312.0,-55.0
석전동,15240.0,201709,15257.0,-17.0
석전동,15207.0,201710,15240.0,-33.0
석전동,15177.0,201711,15207.0,-30.0
석전동,15141.0,201712,15177.0,-36.0
석전동,15119.0,201801,15141.0,-22.0
석전동,15075.0,201802,15119.0,-44.0
석전동,15002.0,201803,15075.0,-73.0
석전동,14944.0,201804,15002.0,-58.0
석전동,14894.0,201805,14944.0,-50.0
석전동,14846.0,201806,14894.0,-48.0
석전동,14823.0,201807,14846.0,-23.0
석전동,14725.0,201808,14823.0,-98.0
석전동,14675.0,201809,14725.0,-50.0
석전동,14639.0,201810,14675.0,-36.0
